企业名称,来源文件,省份,备注
陕西陕煤澄合矿业有限公司董家河煤矿,爬虫抓取(山西+陕西+安监局),陕西,
陕西陕煤韩城矿业有限公司,爬虫抓取(山西+陕西+安监局),陕西,
隆化兴泰矿业有限公司,国家采矿登记系统,河北,
隆回县金石湾建材有限公司,国家采矿登记系统,湖南,
霍州煤电集团,爬虫抓取(山西+陕西+安监局),山西,
霍州煤电集团有限责任公司,爬虫抓取(山西+陕西+安监局),山西,
霍州煤电集团有限责任公司中峪煤矿,爬虫抓取(山西+陕西+安监局),山西,
青川县胖达矿业有限公司,国家采矿登记系统,四川,
青河县锦峰石材有限公司,国家采矿登记系统,新疆,
青海兴远建设工程有限公司,国家采矿登记系统,青海,
青海水泥股份有限公司,国家采矿登记系统,青海,
靖边县宏达砖厂,国家采矿登记系统,陕西,
靖边县杨家湾富鑫机砖厂,国家采矿登记系统,陕西,
额尔古纳市鑫易矿业开发有限公司,国家采矿登记系统,内蒙古,
马关县永发矿业有限责任公司都龙镇大夹槽锡钨矿,手动搜集(各省政府公示),云南,
高县复源石材有限公司,国家采矿登记系统,四川,
高台县金龙晟耀矿业有限公司,国家采矿登记系统,甘肃,
黄陵县南川二号煤炭实业有限公司,爬虫抓取(山西+陕西+安监局),陕西,
黑龙江省华皓矿物开采有限公司,国家采矿登记系统,黑龙江,
黑龙江龙煤集团,手动搜集(大型企业),,
