企业名称,省份,矿种,来源,联系电话,官网,地址
马关县永发矿业有限责任公司都龙镇大夹槽锡钨矿,云南,,手动采集-政府公示,,,
高县复源石材有限公司,四川,砂岩,国家采矿登记系统,,,
高台县金龙晟耀矿业有限公司,甘肃,冶金用石英岩,国家采矿登记系统,,,
黄陵县南川二号煤炭实业有限公司,陕西,煤炭,爬虫抓取,,,
黑龙江省华皓矿物开采有限公司,黑龙江,建筑用玄武岩,国家采矿登记系统,,,
湖南能源集团有限公司,湖南,煤炭,招聘信号-矿调度中心调度员在招,
锦江集团,印尼/全国,矿产,招聘信号-矿山车辆运输调度主管在招,
雅江县斯诺威矿业发展有限公司(宁德时代),四川甘孜,锂矿,招聘信号-自动化主管在招,
中国中煤能源集团,北京,煤炭,招聘信号-智能化转型中,
中煤科工集团智能矿山分公司,天津/鄂尔多斯,煤炭,招聘信号-算法+现场支持在招,
南京寒锐钴业股份有限公司,江苏南京,钴矿,招聘信号-IT系统工程师在招,
希尔威矿业,北京/海外,金矿,招聘信号-采矿管理在招,
宁夏润丰新材料科技有限公司,宁夏灵武,化工/矿产,招聘信号-车辆调度员在招,
新疆庆华丰能源有限公司,新疆伊宁,能源,招聘信号-生产总调度在招,
